year,plant,region_province,type,month_01,month_02,month_03,month_04,month_05,month_06,month_07,month_08,month_09,month_10,month_11,month_12, percentage_per_ton 
2551,ลิ้นจี่,,ปริมาณ, -   , -   , 88 ," 2,424 "," 40,672 "," 9,886 ", 105 , -   , -   , -   , -   , -   ," 53,175 "
2551,ลิ้นจี่,ภาคเหนือ,ร้อยละ, -   , -   , -   , 4.53 , 76.77 , 18.51 , 0.19 , -   , -   , -   , -   , -   , 100.00 
2551,ลิ้นจี่,,ปริมาณ, -   , -   , -   ," 2,194 "," 37,157 "," 8,957 ", 90 , -   , -   , -   , -   , -   ," 48,398 "
2551,ลิ้นจี่,ภาคตะวันออกเฉียงเหนือ,ร้อยละ, -   , -   , -   , 2.33 , 88.07 , 8.85 , 0.75 , -   , -   , -   , -   , -   , 100.00 
2551,ลิ้นจี่,,ปริมาณ, -   , -   , -   , 47 ," 1,772 ", 178 , 15 , -   , -   , -   , -   , -   ," 2,012 "
2551,ลิ้นจี่,ภาคกลาง,ร้อยละ, -   , -   , 3.18 , 6.62 , 63.04 , 27.16 , -   , -   , -   , -   , -   , -   , 100.00 
2551,ลิ้นจี่,,ปริมาณ, -   , -   , 88 , 183 ," 1,743 ", 751 , -   , -   , -   , -   , -   , -   ," 2,765 "
2551,ลิ้นจี่,เชียงราย,ร้อยละ, -   , -   , -   , 0.15 , 95.68 , 4.17 , -   , -   , -   , -   , -   , -   , 100.00 
2551,ลิ้นจี่,,ปริมาณ, -   , -   , -   , 21 ," 13,448 ", 586 , -   , -   , -   , -   , -   , -   ," 14,055 "
2551,ลิ้นจี่,พะเยา,ร้อยละ, -   , -   , -   , 1.50 , 77.01 , 21.49 , -   , -   , -   , -   , -   , -   , 100.00 
2551,ลิ้นจี่,,ปริมาณ, -   , -   ,, 132 ," 6,789 "," 1,894 ", -   , -   , -   , -   , -   , -   ," 8,815 "
2551,ลิ้นจี่,ลำปาง,ร้อยละ, -   , -   , -   , -   , 78.61 , 21.39 , -   , -   , -   , -   , -   , -   , 100.00 
2551,ลิ้นจี่,,ปริมาณ, -   , -   , -   , -   , 463 , 126 , -   , -   , -   , -   , -   , -   , 589 
2551,ลิ้นจี่,เชียงใหม่,ร้อยละ, -   , -   , -   , 1.37 , 67.19 , 31.44 , -   , -   , -   , -   , -   , -   , 100.00 
2551,ลิ้นจี่,,ปริมาณ, -   , -   , -   , 263 ," 12,825 "," 6,001 ", -   , -   , -   , -   , -   , -   ," 19,089 "
2551,ลิ้นจี่,แม่ฮ่องสอน,ร้อยละ, -   , -   , -   , -   , 77.79 , 22.21 , -   , -   , -   , -   , -   , -   , 100.00 
2551,ลิ้นจี่,,ปริมาณ, -   , -   , -   , -   , 620 , 177 , -   , -   , -   , -   , -   , -   , 797 
2551,ลิ้นจี่,ตาก,ร้อยละ, -   , -   , -   , -   , 100.00 , -   , -   , -   , -   , -   , -   , -   , 100.00 
2551,ลิ้นจี่,,ปริมาณ, -   , -   , -   , -   , 24 , -   , -   , -   , -   , -   , -   , -   , 24 
2551,ลิ้นจี่,แพร่,ร้อยละ, -   , -   , -   , -   , 100.00 , -   , -   , -   , -   , -   , -   , -   , 100.00 
2551,ลิ้นจี่,,ปริมาณ, -   , -   , -   , -   , 203 , -   , -   , -   , -   , -   , -   , -   , 203 
2551,ลิ้นจี่,น่าน,ร้อยละ, -   , -   , -   , 40.62 , 59.38 , -   , -   , -   , -   , -   , -   , -   , 100.00 
2551,ลิ้นจี่,,ปริมาณ, -   , -   , -   ," 1,762 "," 2,576 ", -   , -   , -   , -   , -   , -   , -   ," 4,338 "
2551,ลิ้นจี่,เพชรบูรณ์,ร้อยละ, -   , -   , -   , 3.28 , 42.83 , 35.45 , 18.44 , -   , -   , -   , -   , -   , 100.00 
2551,ลิ้นจี่,,ปริมาณ, -   , -   , -   , 16 , 209 , 173 , 90 , -   , -   , -   , -   , -   , 488 
2551,ลิ้นจี่,เลย,ร้อยละ, -   , -   , -   , 2.93 , 97.07 , -   , -   , -   , -   , -   , -   , -   , 100.00 
2551,ลิ้นจี่,,ปริมาณ, -   , -   , -   , 45 ," 1,490 ", -   , -   , -   , -   , -   , -   , -   ," 1,535 "
2551,ลิ้นจี่,อุดรธานี,ร้อยละ, -   , -   , -   , 20.00 , 80.00 , -   , -   , -   , -   , -   , -   , -   , 100.00 
2551,ลิ้นจี่,,ปริมาณ, -   , -   , -   , 2 , 8 , -   , -   , -   , -   , -   , -   , -   , 10 
2551,ลิ้นจี่,หนองคาย,ร้อยละ, -   , -   , -   , -   , 17.65 , 82.35 , -   , -   , -   , -   , -   , -   , 100.00 
2551,ลิ้นจี่,,ปริมาณ,,, -   , -   , 3 , 14 , -   ,,,,,, 17 
2551,ลิ้นจี่,ชัยภูมิ,ร้อยละ, -   , -   , -   , -   , 70.21 , 28.37 , 1.42 , -   , -   , -   , -   , -   , 100.00 
2551,ลิ้นจี่,,ปริมาณ,,, -   , -   , 99 , 40 , 2 ,,,,,, 141 
2551,ลิ้นจี่,นครราชสีมา,ร้อยละ, -   , -   , -   , -   , 55.66 , 40.13 , 4.21 , -   , -   , -   , -   , -   , 100.00 
2551,ลิ้นจี่,,ปริมาณ, -   , -   , -   , -   , 172 , 124 , 13 , -   , -   , -   , -   , -   , 309 
2551,ลิ้นจี่,ปราจีนบุรี,ร้อยละ, -   , -   , -   , -   , 100.00 , -   , -   , -   , -   , -   , -   , -   , 100.00 
2551,ลิ้นจี่,,ปริมาณ, -   , -   , -   , -   , 15 , -   , -   , -   , -   , -   , -   , -   , 15 
